Product ID,Product Type,Code,Name,Brand,Description,Cost Price,Retail Price,Sale Price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,META Description,Product Condition,Product URL,Redirect Old URL?
72,P,43,SRM Cannondale MTB Powermeter Training System (Triple Crank),SRM,"Tackle the trails with power with SRM's Cannondale MTB Powermeter. The time-tested SRM powermeter is matched to Cannondale's Hollowgram SL crankset for precise power measurement on every ride.Accurate to +/- 1.5%, the SRM Power System includes the PowerControl 7 computer, speed & cadence sensor and heart rate strap for real-time data during your ride that you can download later for a thorough post-ride analysis.  Weight: 707g (crankset and BB30 bottom bracket) ",0,0,,2549,0,Y,,3,0,0,0,Y,N,,N,0,0,20/03/2012,27/09/2012,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Mountain Bike Powermeters, Category Path: Mountain Bike Powermeters",http://www.fascatpowermeters.com/product_images/n/828/srm_power_control_color_options__18648.jpg,SRM Cannondale MTB Power Training System,"SRM Cannondale MTB Power Training System, mountain bike powermeter",SRM Cannondale MTB Power Training System PowerMeter,New,/srm-cannondale-mtb-power-training-system-triple-crank/,
73,P,44,SRM Cannondale MTB Powermeter Training System (2x10 Crank),SRM,"Tackle the trails with power with SRM's Cannondale MTB Powermeter. The time-tested SRM powermeter is matched to Cannondale's Hollowgram SL crankset for precise power measurement on every ride. Accurate to +/- 1.5%, the SRM Power System includes the PowerControl 7 computer, speed & cadence sensor and heart rate strap for real-time data during your ride that you can download later for a thorough post-ride analysis.  691g (crankset & BB30 bottom bracket) ",0,0,,2549,0,Y,,3,0,0,0,Y,N,,N,0,0,20/03/2012,27/09/2012,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Mountain Bike Powermeters, Category Path: Mountain Bike Powermeters",http://www.fascatpowermeters.com/product_images/p/602/srm_cannondale_mtb_2_powermeter__34668.jpg,SRM Cannondale MTB Power Training System,"SRM Cannondale MTB Power Training System, mountain bike powermeter",SRM Cannondale MTB Power Training System for Mountain Bikes,New,/srm-cannondale-mtb-power-training-system-2x10-crank/,
75,P,46,SRM Cannondale Powermeter Training System (Standard & Compact Crank),SRM,"Equip your ride with the ultimate training tool- SRM's Cannondale SI Powermeter. The time-tested SRM powermeter is matched to Cannondale's Hollowgram SI crankset for precise power measurement on every ride. Accurate to +/- 1.5%, the SRM Power System includes the PowerControl 7 computer, speed & cadence sensor and heart rate strap for real-time data during your ride that you can download later for a thorough post-ride analysis. Weight: 721g (crankset & BB30 bottom bracket) ",0,0,,2795,0,Y,,4,12,14,8,Y,N,,N,0,0,20/03/2012,25/03/2013,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Road Bike Powermeters, Category Path: Road Bike Powermeters",http://www.fascatpowermeters.com/product_images/p/233/srm_cannondale_powermeter__20167.jpg,SRM Cannondale Power Training System,"SRM Cannondale Power Training System, powermeter",SRM Cannondale Power Training System PowerMeter,New,/srm-cannondale-power-training-system-standard-compact-crank/,
84,P,56,SRM DuraAce Power Training Sytem 7800 (Standard Crank),SRM,"Upgrade your ride with the ultimate training tool- SRM's Shimano Dura-Ace 7800 PowerMeter. The time-tested SRM powermeter is matched to Shimano's timeless 7800 crankset for precise power measurement on every ride. Accurate to +/- 1.5%, the SRM Power System includes the PowerControl 7 computer, speed & cadence sensor and heart rate strap for real-time data during your ride that you can download later for a thorough post-ride analysis. Weight: 919g (crankset & bottom bracket) Need more info? Check out our FAQ's!",0,0,,3695,0,N,,4,12,14,8,Y,N,FREE U.S. Shipping,Y,700,0,20/03/2012,5/9/13,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Road Bike Powermeters, Category Path: Road Bike Powermeters",http://www.fascatpowermeters.com/product_images/x/936/srm_shimano_7800_powermeter__43252.jpg,SRM Shimano Dura Ace 7800 Power Training System,"SRM Shimano Dura Ace 7800 Power Training System, powermeter",SRM Shimano Dura Ace 7800 Power Training System powermeter,New,/srm-duraace-power-training-sytem-7800-standard-crank/,
85,P,57,SRM DuraAce Powermeter Training System 7950 (Compact Crank),SRM,"Upgrade your ride with the ultimate training tool- SRM's Shimano Dura-Ace 7950 PowerMeter. The time-tested SRM powermeter is matched to Shimano's sleek 7950 crankset for precise power measurement on every ride. Accurate to +/- 1.5%, the SRM Power System includes the PowerControl 7 computer, speed & cadence sensor and heart rate strap for real-time data during your ride that you can download later for a thorough post-ride analysis. Weight: 855g (crankset & bottom bracket) ",0,0,,3895,0,N,,4,12,14,8,Y,N,,N,0,0,20/03/2012,25/03/2013,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Road Bike Powermeters, Category Path: Road Bike Powermeters",http://www.fascatpowermeters.com/product_images/w/471/srm_shimano_7950_powermeter__88868.jpg,SRM Shimano Dura Ace 7950 Powermeter Training System for Road and Triathlon Bikes,"SRM Powermeter Shimano Dura Ace 7900, SRM power meter fro road and triathlon bikes",SRM Shimano Dura Ace 7950 Powermeter Training System,New,/srm-duraace-powermeter-training-system-7950-compact-crank/,
104,P,111,SRM DuraAce 7950 PowerMeter for Cyclocross,SRM,"Choose the cyclocross specifc 46 x 38 cyclocross gearing on SRM's Shimano Dura-Ace 7950 PowerMeter for the ultimate cyclocross setup. Perfect for Di2 groupset users, the SRM powermeter is the gold standard in the pro peloton for precise power measurement accurate to +/- 1.5%. Combine that with Shimano's sleek 7900 crankset and this powermeter is simply the best you can buy for 'cross. The SRM Power System is ANT+ meaning it can be paried with any ANT+ bike computer such as the Garmin Edge 500, the PowerControl 7 or the Joule GPS. Weight: 910g (crankset & bottom bracket) Need more info? Check out our FAQ's! ",0,0,,3145,0,N,,4,12,14,8,Y,N,FREE U.S. Shipping,Y,700,0,18/07/2012,5/9/13,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Cyclocross Powermeters, Category Path: Cyclocross Powermeters",http://www.fascatpowermeters.com/product_images/p/371/srm_powermeter_decals__32768.jpg,SRM DuraAce PowerMeter 7900 for cyclocross bikes,SRM DuraAce PowerMeter 7900 for cyclocross bikes,SRM DuraAce PowerMeter 7900 for cyclocross bikes,New,/srm-duraace-powermeter-7950-for-cyclocross/,
192,P,,"SRM Dura Ace 9000 PowerMeter 172.5mm, 53/39 - ON SALE!",SRM,"SRM's Shimano Dura Ace 9000 PowerMeter is IN STOCK!  Shimano has gone to 11 speed this year making the SRM a perfect training tool!  Plus if you are running Di2 11spd, the SRM Dura Ace 9000 will work (& look) the best with you Di2 groupo. Anything else would be like buying an Armani suit and getting a TJ max tie! New for the 9000 Shimano Groupo is a ""Top Secret"" BCD that allows athletes to swap out regular rings (53/39) for compact rings (50/34) without affecting the calibration (slope) and thus the accuracy of the SRM.  The SRM powermeter is the gold standard in the pro peloton for precise power measurement that's accurate to +/- 1.5%. Combine that with Shimano's versatile 4-arm (new Top Secret BCD) 9000 crankset and this powermeter is simply the best there is.  The Shimano 9000 rings are 20% stiffer than the previous Shimano's 7900's.  Plus the SRM boast 3000 hours of battery life! Use the SRM 9000 with 53/39 rings on your road bike in the spring and summer and then be able to swap it over to your cyclocross bike in a 46/38 ring combination.  Or swap the 53/39 rings to a compact 'climbing' 50/34 for climbing mountains in the Summer.   No re-calibration required! The SRM Powermeter is ANT+ meaning it can be paried with any ANT+ bike computer such as the Garmin Edge 510, the PowerControl 7 or the Joule GPS. Why Buy your SRM from anywhere else!  Get a FREE month of power based coaching from us (up to a $450 value) and tap into all the benefits of Training with POWER ! ! Need more info? Check out our FAQ's! ",0,,2879.1,3199,0,N,,4,14,10,6,Y,N,FREE U.S. Shipping,Y,93,0,19/11/2013,6/12/13,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Road Bike Powermeters, Category Path: Road Bike Powermeters|Category Name: On Sale!, Category Path: On Sale!",http://www.fascatpowermeters.com/product_images/n/270/srm_dura_ace_9000_11spd_powermeter__30593.jpg,SRM DuraAce PowerMeter 9000 for road bikes and triathlon bikes,"SRM DuraAce PowerMeter 9000  for road bikes, srm power meter",SRM DuraAce PowerMeter 9000  for road bikes and triathlon bikes,New,/srm-dura-ace-9000-powermeter-172-5mm-53-39-on-sale/,
193,P,,"SRM Campagnolo PowerMeter 175mm, 53/39 - ON SALE!",SRM,"SRM's time-tested powermeter is matched to Campagnolo's Carbon Ultra Torque cranks for the ultimate crown jewel for your custom Campy ride. Accurate to +/- 1.5%, SRM's Campy crankset can be paired with your favorite ANT+ bike computer for the ultimate training and racing system. 780g (powermeter crankset only) Need more info? Check out our FAQ's!",0,,2996.25,3995,0,N,,4,12,14,8,Y,N,FREE U.S. Shipping,Y,0,0,19/11/2013,6/12/13,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Road Bike Powermeters, Category Path: Road Bike Powermeters|Category Name: On Sale!, Category Path: On Sale!",http://www.fascatpowermeters.com/product_images/e/732/srm_campagnolo_powermeter_nds_75588__09200.jpg,SRM Campagnolo PowerMeter for Road bikes,"SRM PowerMeter Campagnolo for Road BIkes, srm power meter","SRM Power Meter Campagnolo, srm powermeter",New,/srm-campagnolo-powermeter-175mm-53-39-on-sale/,
45,P,16,SRM FSA K-Force Light MTB PowerMeter (2x10),SRM,"Take your power to the trail with the FSA K-Force Light MTB Powermeter. The SRM time-tested powermeter is matched to FSA's  K-Force Light carbon crankset for accurate power measurement on every ride. Accurate to +/- 1.5%, the SRM SRAM MTB powermeter can be paired with your favorite ANT+ bike computer for the ultimate training and racing system. Weight: 864g (crankset & Mega Exo bottom bracket) Need more info? Check out our FAQ's!",0,0,,2399,0,N,,3,10,12,6,Y,Y,FREE U.S. Shipping,Y,400,0,12/2/12,11/4/13,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Mountain Bike Powermeters, Category Path: Mountain Bike Powermeters",http://www.fascatpowermeters.com/product_images/t/393/srm_powermeter_decals__95256.jpg,SRM FSA K-Force Light MTB PowerMeter for Mountain Bikes,"SRM Power Meter FSA K-Force Light MTB, srm mountain bike powermeter",SRM PowerMeter FSA K-Force Light MTB for Mountain Bikes,New,/srm-fsa-k-force-light-mtb-powermeter-2x10/,
46,P,17,SRM FSA K-Force Light MTB PowerMeter (3x9),SRM,"Take your power to the trail with the FSA K-Force Light MTB Powermeter. The time-tested SRM powermeter is matched to FSA's K-Force Light carbon crankset for precise power measurement on every ride. Accurate to +/- 1.5%, the SRM SRAM MTB powermeter can be paired with your favorite ANT+ bike computer for the ultimate training and racing system. Weight: 890g (crankset & Mega Exo bottom bracket) Need more info? Check out our FAQ's!",0,0,,2399,0,N,,3,10,12,6,Y,Y,FREE U.S. Shipping,Y,200,0,12/2/12,5/9/13,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Mountain Bike Powermeters, Category Path: Mountain Bike Powermeters",http://www.fascatpowermeters.com/product_images/c/342/srm_powermeter_decals__87769.jpg,SRM FSA K-Force Light MTB PowerMeter (Triple) for Mountain bikes,SRM FSA K-Force Light MTB PowerMeter (Triple) for Mountain bikes,SRM FSA K-Force Light MTB PowerMeter (Triple) for Mountain bikes,New,/srm-fsa-k-force-light-mtb-powermeter-triple/,
